lead,time_from_QRS_s,high_risk_median_mV,low_risk_median_mV,high_risk_mean_absolute_IG,high_risk_n,low_risk_n
V3,0.21,0.08384709060192108,0.12174185924232006,0.00012331457726466157,507,1022
V3,0.22,0.08542683348059654,0.1313411071896553,0.00012028819686680966,507,1022
V3,0.23,0.08901683986186981,0.13860827311873436,0.0001221085506361583,507,1022
V3,0.24,0.08332489430904388,0.14129356294870377,0.00012140816538153788,507,1022
V3,0.25,0.07476987689733505,0.13881215453147888,0.00011519799179009713,507,1022
V3,0.26,0.06760110706090927,0.1268881931900978,0.00010435581488751467,507,1022
V3,0.27,0.05660509690642357,0.10624520294368267,9.71049995624284e-05,507,1022
V3,0.28,0.04349609836935997,0.09028435684740543,8.996452998147676e-05,507,1022
V3,0.29,0.03458108380436897,0.06960046663880348,8.110898715835064e-05,507,1022
V3,0.3,0.02976105362176895,0.04861990828067064,7.490432007645853e-05,507,1022
V3,0.31,0.023702195845544338,0.03570609353482723,6.698378719606318e-05,507,1022
V3,0.32,0.021422286052256823,0.020934268832206726,6.369728467882835e-05,507,1022
V3,0.33,0.020117616280913353,0.015197924338281155,5.782791279298241e-05,507,1022
V3,0.34,0.016152027994394302,0.006992582464590669,5.4451425724110096e-05,507,1022
V3,0.35,0.013115978799760342,0.003041419346118346,5.165940850806803e-05,507,1022
V3,0.36,0.01166471466422081,0.001012161676044343,5.2183237115936395e-05,507,1022
V3,0.37,0.01065581850707531,-0.0006649847491644323,4.997433667819997e-05,507,1022
V3,0.38,0.008253168780356646,-0.0034517527383286506,4.872676232059396e-05,507,1022
V3,0.39,0.010143752209842205,-0.002456672169500962,4.9467781375002827e-05,507,1022
V3,0.4,0.006575226783752441,-0.003614352724980563,5.3648253587467796e-05,507,1022
V3,0.41,0.004714504975709133,-0.0036300051724538207,4.752544586979218e-05,507,1022
V3,0.42,0.0012213379377499223,-0.0032611675560474396,4.862983063755849e-05,507,1022
V3,0.43,0.002430521184578538,-0.0027894650120288134,5.162503817401545e-05,507,1022
V3,0.44,0.00011427154822740704,-0.0019753867527469993,5.542381723561466e-05,507,1022
V3,0.45,0.0009120521135628223,-0.0009765606664586812,6.213089023364413e-05,507,1022
V3,0.46,-0.003234289586544037,-0.002451412088703364,6.094476371689671e-05,507,1022
V3,0.47,-0.0052944873459637165,-0.0021797086810693145,6.416769726237732e-05,507,1022
V3,0.48,-0.00456208223477006,-0.0032911982852965593,7.01277843478532e-05,507,1022
V3,0.49,-0.007635583635419607,-0.004364229505881667,6.85294335097298e-05,507,1022
V3,0.5,-0.010180773213505745,-0.005919867428019643,6.73194697323373e-05,507,1022
V3,0.51,-0.00750758103094995,-0.00629493007727433,7.562938761626415e-05,507,1022
V3,0.52,-0.00712168961763382,-0.008605928858742118,7.36829316453067e-05,507,1022
V3,0.53,-0.007045844104140997,-0.010650022886693478,7.648169989686402e-05,507,1022
V3,0.54,-0.006354650249704719,-0.014349226607009768,8.477015168107016e-05,507,1022
V3,0.55,-0.010734192095696926,-0.016116121783852577,9.542795226830869e-05,507,1022
V3,0.56,-0.01226475781732006,-0.018226278014481068,7.758910018640943e-05,507,1022
V3,0.57,-0.013764203991740942,-0.01902825478464365,7.780874433540234e-05,507,1022
V3,0.58,-0.013744513969868422,-0.020090422593057156,8.147487860705357e-05,507,1022
V3,0.59,-0.015021729283034801,-0.020477032754570246,8.350006078421717e-05,507,1022
V4,-0.4,0.004337952937930822,-0.0018335086642764509,7.270593046044628e-05,507,1022
V4,-0.39,0.004419403150677681,-0.003403970586077776,7.337230997509118e-05,507,1022
V4,-0.38,0.0024974122643470764,-0.00371186931442935,6.777459076072784e-05,507,1022
V4,-0.37,0.00567319430410862,-0.006403924897313118,6.477875312148699e-05,507,1022
V4,-0.36,0.006805157754570246,-0.007731248391792178,6.690432744479226e-05,507,1022
V4,-0.35,0.008477115305140615,-0.008700854610651731,6.471274822994552e-05,507,1022
V4,-0.34,0.0077584232203662395,-0.00971775024663657,6.426053592963299e-05,507,1022
V4,-0.33,0.01122897770255804,-0.012483854778110981,6.294384341841281e-05,507,1022
V4,-0.32,0.009865979664027691,-0.01281294075306505,5.9488278753354875e-05,507,1022
V4,-0.31,0.008733597584068775,-0.01445996412076056,5.258952751500579e-05,507,1022
V4,-0.3,0.00796150416135788,-0.014561974909156561,4.626270314016556e-05,507,1022
V4,-0.29,0.00715174013748765,-0.015673398738726974,4.196976775698119e-05,507,1022
V4,-0.28,0.008641385473310947,-0.016314024105668068,3.889341126208331e-05,507,1022
V4,-0.27,0.006816118489950895,-0.01790018193423748,3.568673250564336e-05,507,1022
